Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2016-01-01,Gurugram,EdTech,"Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",Seed Round,Knorish,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities",1000000.0
2015-01-01,Bengaluru,Healthcare,"Mudit Dandwate, Dandwate",Prime VP,Series A,Dozee,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.",5000000.0
2015-01-01,Bengaluru,Transport,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",Series E,BlackBuck,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,67000000.0
2020-01-01,Bengaluru,Marketing & Advertising,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",Seed,Mailmodo,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,2000000.0
2019-01-01,Bengaluru,Computer software,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Endiya Partners,Seed,SuperBeings,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",3000000.0
2018-01-01,New Delhi,Healthcare,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",Series A,NirogStreet,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,2500000.0
2016-01-01,Thiruvananthapuram,Human Resources,"Arun Satyan, Mahesh Raju, Sreenath N",Callapina Capital,Series B+,Hyreo,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,3000000.0
2020-01-01,Hyderabad,Transport,Mahesh Godi,Blue Ashva Capital,Debt Financing,GODI Energy,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,3000000.0
2020-01-01,Bengaluru,Healthcare,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,Seed,Even,One monthly subscription to cover all your healthcare needs.,5000000.0
2019-01-01,Bengaluru,Transport,Utham Gowda,"Accel Partners, Matrix India",Series A,Captain Fresh,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,12000000.0
2020-01-01,Gurugram,Food & Beverages,Varun Khurana,"Omidyar Network India, Innoven Capital",Series A,Otipy,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,10200000.0
2008-01-01,Faridabad,Eyewear,Peyush Bansal,"Temasek, Falcon Edge",Pre-Seed,Lenskart,India's fastest growing eyewear company and largest eyewear company online.,220000000.0
2020-01-01,Bengaluru,Healthcare,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",Seed Funding,Eka.care,A digitally enabled and connected healthcare ecosystem for better health outcomes.,4500000.0
2015-01-01,Chennai,EdTech,"Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",Series D1,Braingroom,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.",200000.0
2017-01-01,Bengaluru,Consumer Services,Ravi Nishant,Inflection Point Ventures,Series H,Edvizo,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",1000000.0
2017-01-01,New Delhi,Finance,Avinash Kumar,Capital India,Series B,Credenc,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,25000000.0
2021-01-01,New Delhi,D2C Business,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",Series A,GlobalBees,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,150000000.0
2015-01-01,Gurugram,Transport,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,Series D,Spinny,Spinny is a new age used car end-to-end platform in India.,108000000.0
2017-01-01,Bengaluru,Biotechnology,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",Series A,Mynvax,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,4000000.0
2018-01-01,Pune,Human Resources,Ashutosh Seth,SAB Holdings,Series H,RiseBird,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,500000.0
2020-01-01,Bengaluru,Healthcare,Mehak Malik,Titan Capital,Series A,Uvi Health,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,330000.0
2020-01-01,Bengaluru,Farming,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",Series F,Vegrow,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,13000000.0
2015-01-01,Bengaluru,Transport,"Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,Series A+,Automovill,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.",500000.0
2021-01-01,Gurugram,NFT Marketplace,Toshendra Sharma,Kalaari Capital,Seed,NFTically,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",3000000.0
2012-01-01,Bengaluru,Healthcare,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",Series C,HealthifyMe,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,75000000.0
2017-01-01,Gurugram,Finance,Amit Kumar,JITO Angel Network,Seed,GalaxyCard,GalaxyCard is a mobile based Instant Credit Card.,450000.0
2018-01-01,Gurugram,Healthcare,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Blue Ashva Capital,Series B+,Bella Vita Organic,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,10000000.0
2016-01-01,Bengaluru,Finance,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",Series C,SmartCoin,India's Most Preferred Instant Loan App,10000000.0
2017-01-01,Mumbai,EdTech,Shronit Ladhaniai,Unitus Ventures,Seed,CareerNinja,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",3000000.0
2016-01-01,New Delhi,Solar,Gagan Vermani,TATA Cleantech Capital,Seed Funding,MYSUN,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",2000000.0
2010-01-01,Bengaluru,Biotechnology,"Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,Series B,Sea6 Energy,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",9000000.0
2018-01-01,Mumbai,Consumer Goods,"Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,Seed,Beco,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",500000.0
2020-01-01,Bengaluru,Internet,"Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners",Seed Round,OneCode,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services",5000000.0
2020-01-01,Bengaluru,Information Technology,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",Seed,MedPay,MedPay® is building the real-time claims adjudication platform for health insurers.,1200000.0
2013-01-01,Noida,Internet,Azhar Iqubal,Vy Capital,Series B+,Inshorts,Built Inshorts with a promise to deliver news,60000000.0
2018-01-01,Bengaluru,SpaceTech,"Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,Seed,Digantara,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",2500000.0
2018-01-01,Chennai,AgriTech,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,Seed,Aqgromalin,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,700000.0
2014-01-01,Gurugram,Real Estate,Tanuj Shori,ADM Capital,Series F,Square Yards,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,25000000.0
2013-01-01,Gurugram,Hospitality,Ritesh Agarwal,"SoftBank Vision Fund, Hindustan Media Venture",Series B+,OYO,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,660000000.0
2017-01-01,Bengaluru,Computer software,Kumar Rangarajan,100x Entrepreneurs,Series G,Slang Labs,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,3000000.0
2019-01-01,Gurugram,Healthcare,"Joyneel Acharya, Shweta Gandhi","Healthcare veterans, PIEDS",Seed,NirogGyan,"Simplifying Diagnostics for labs, doctors, and people.",3000000.0
2017-01-01,Bengaluru,Transport,Bhavish Aggarwal,Bank of Baroda,Early Seed,Ola Electric,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,100000000.0
2019-01-01,Noida,Consumer software,Abhishek Bhayana,YCombinator,Series C,Bikry app,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",1300000.0
2012-01-01,Bengaluru,EdTech,"Abhishek Patil, V Satish Kumar",IAN Fund,Series C,Oliveboard,Oliveboard is the top exam preparation platform for Banking & Government Exams.,3000000.0
2020-01-01,New Delhi,EdTech,Holistic Development Programs for children in age range 5-15,Vishal Gupta,Series B+,Little Leap,Soft Skills that make Smart Leaders,3000000.0
2016-01-01,Bengaluru,Social commerce,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M",Series B,Trell,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,45000000.0
2008-01-01,Kolkata,EdTech,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,Seed,Kredent,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,1000000.0
2020-01-01,Mumbai,Healthcare,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,Seed,EasyAspataal,India’s First Digital Admission Desk for Hospitalisation.,500000.0
2008-01-01,Bengaluru,Food & Beverages,Vimal Sharma,Klub,Bridge,SMOOR,Instigate your sixth sense with our new range of chocolates.,3000000.0
2019-01-01,Bengaluru,Social community,Pankhuri Shrivastava,Sequoia’s Surge,Pre-Seed,Pankhuri,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",3200000.0
2019-01-01,Bengaluru,Information Technology,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,Seed,Arcana,Arcana is the Storage Layer of Ethereum.,370000.0
2016-01-01,Noida,EdTech,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal	#REF!",$1000000,Series D,AdmitKard,A tech solution for end to end career advisory to students looking to study abroad.,3000000.0
2017-01-01,Hyderabad,Food & Beverages,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,Private Equity,UrbanKisaan,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,3000000.0
2017-01-01,Chennai,Fishery,Rajamanohar,"Rebright Partners, Flourish Ventures",Series I,Aquaconnect,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,4000000.0
2020-01-01,Bengaluru,EdTech,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge,Pre-Seed,Vah Vah!,A mission to educate India and make its young and dynamic population job ready.,1800000.0
2019-01-01,Gurugram,Apparel & Fashion,Aditya B,"Titan Capital, Sequoia Capital",Series B,LetsDressUp,Building India's version of Stitch Fix,300000.0
2019-01-01,Mumbai,Computer software,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,Series A,Sapio Analytics,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,150000.0
2020-01-01,Mumbai,Human Resources,Backed by 100x.VC,"Omkar Pandharkame, Ketaki Ogale",Venture - Series Unknown,BHyve,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,3000000.0
2019-01-01,Roorkee,Renewables & Environment,Dr. ASIT SAHOO,Mumbai Angels Network,Seed,Indi Energy,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",3000000.0
2021-01-01,Gurugram,Consumer Goods,"Param Bhargava, Shreedha Singh","GetVantage, Velocity, Shiprocket Capital",Series D,The Ayurveda Co,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,3000000.0
2015-01-01,Bengaluru,Online storytelling,Ranjeet Pratap Singh,"Krafton Inc, Omidyar",Series E,Pratilipi,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",48000000.0
2017-01-01,Bengaluru,Transport,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",Series F,Ati Motors,Autonomous industrial vehicle maker,35000000.0
2018-01-01,Mumbai,Deeptech,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,Series G,peAR,An AR / VR tech based Start-up in Mumbai.,300000.0
2019-01-01,Bengaluru,Farming,Arjun Balaji,"Beyond Next Ventures, M Venture Partners",Series I,Gourmet Garden,"100% contamination free, pesticide free naturoponically grown vegetables.",3000000.0
2019-01-01,Mumbai,Consumer Goods,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Fireside Ventures,Bridge,The Sleep Company,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,1000000.0
2020-01-01,New Delhi,B2B E-commerce,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders,Seed,TyrePlex,Tyreplex is digitizing the tyre dealers in India.,3000000.0
2016-01-01,Mumbai,Transport,Akhil Aryan,Alteria Capital,Pre-Seed,ION Energy,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,3600000.0
2016-01-01,Bengaluru,Insuretech,Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",Seed Funding,Digit Insurance,"Digit becomes the first Unicorn of 2021, valued at $1.9B.",200000000.0
2020-01-01,Mumbai,Food & Beverages,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",Series A,FRAAZO,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,11000000.0
2015-01-01,Bengaluru,Food & Beverages,"Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",Series F,Licious,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",192000000.0
